CalendarDate,HolidayNameHebrew
2019-05-19,רמדאן
2019-05-20,רמדאן
2019-05-21,רמדאן
2019-05-22,ערב לג בעומר
2019-05-23,לג בעומר
2019-05-24,רמדאן
2019-05-25,רמדאן
2019-05-26,רמדאן
2019-05-27,רמדאן
2019-05-28,רמדאן
2019-05-29,רמדאן
2019-05-30,רמדאן
2019-05-31,רמדאן
2019-06-01,רמדאן
2019-06-02,יום ירושלים
2019-06-03,רמדאן
2019-06-04,ערב איד אל פיטר
2019-06-05,עיד אל פיטר
2019-06-06,עיד אל פיטר
2019-06-07,עיד אל פיטר
2019-06-08,ערב שבועות
2019-06-09,שבועות
2019-06-10,איסרו חג שבועות
2019-07-06,צעדת הנביא אבו אברהים
2019-07-21,יז תמוז
2019-08-10,ערב ט באב
2019-08-11,ט אב
2019-08-12,עיד אלאדחא (חג הקורבן)
2019-08-13,עיד אלאדחא (חג הקורבן)
2019-08-14,עיד אלאדחא (חג הקורבן)
2019-08-16,טו באב
2019-08-25,חג הנביא אל יעפורי
2019-09-09,ערב חג נבי סבלאן
2019-09-10,חג נבי סבלאן
2019-09-29,ערב ראש השנה
2019-09-30,ראש השנה
2019-10-01,ראש השנה
2019-10-02,צום גדליה
2019-10-08,ערב יום כיפור
2019-10-09,יום כיפור
2019-10-13,ערב סוכות
2019-10-14,סוכות
2019-10-15,חול המועד סוכות
2019-10-16,חול המועד סוכות
2019-10-17,חול המועד סוכות
2019-10-18,חול המועד סוכות
2019-10-19,חול המועד סוכות
2019-10-20,חול המועד סוכות
2019-10-21,שמיני עצרת (שמחת תורה)
2019-10-22,איסרו חג סוכות
2019-11-09,הולדת הנביא מוחמד
2019-11-27,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2019-12-22,ערב חנוכה
2019-12-23,חנוכה
2019-12-24,חנוכה
2019-12-25,חנוכה
2019-12-26,חנוכה
2019-12-27,חנוכה
2019-12-28,חנוכה
2019-12-29,חנוכה
2019-12-30,חנוכה
2019-12-31,ערב ראשית השנה האזרחית
2020-01-01,ראש השנה האזרחית
2020-01-05,ערב חג ההתגלות
2020-01-06,חג ההתגלות
2020-01-07,צום י בטבת
2020-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2020-01-25,נבי אלח'אדר (חג הנביא אליהו)
2020-02-10,טו בשבט
2020-03-09,תענית אסתר
2020-03-10,פורים
2020-03-11,שושן פורים
2020-03-22,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2020-03-25,יום הבשורה
2020-04-08,ערב פסח
2020-04-09,פסח
2020-04-10,חול המועד פסח
2020-04-11,חול המועד פסח
2020-04-12,חול המועד פסח
2020-04-13,חול המועד פסח
2020-04-14,חול המועד פסח
2020-04-15,חג שביעי של פסח
2020-04-16,איסרו חג פסח (מימונה)
2020-04-21,יום הזכרון לשואה ולגבורה
2020-04-24,רמדאן
2020-04-25,רמדאן
2020-04-26,רמדאן
2020-04-27,רמדאן
2020-04-28,יום הזכרון
2020-04-29,יום העצמאות
2020-04-30,רמדאן
2020-05-01,רמדאן
2020-05-02,רמדאן
2020-05-03,רמדאן
2020-05-04,רמדאן
2020-05-05,רמדאן
2020-05-06,רמדאן
2020-05-07,רמדאן
2020-05-08,רמדאן
2020-05-09,רמדאן
2020-05-10,רמדאן
2020-05-11,ערב לג בעומר
2020-05-12,לג בעומר
2020-05-13,רמדאן
2020-05-14,רמדאן
2020-05-15,רמדאן
2020-05-16,רמדאן
2020-05-17,רמדאן
2020-05-18,רמדאן
2020-05-19,רמדאן
2020-05-20,רמדאן
2020-05-21,רמדאן
2020-05-22,יום ירושלים
2020-05-23,ערב איד אל פיטר
2020-05-24,עיד אל פיטר
2020-05-25,עיד אל פיטר
2020-05-26,עיד אל פיטר
2020-05-28,ערב שבועות
2020-05-29,שבועות
2020-05-30,איסרו חג שבועות
2020-07-06,צעדת הנביא אבו אברהים
2020-07-09,יז תמוז
2020-07-29,ערב ט באב
2020-07-30,ט אב
2020-07-31,עיד אלאדחא (חג הקורבן)
2020-08-01,עיד אלאדחא (חג הקורבן)
2020-08-02,עיד אלאדחא (חג הקורבן)
2020-08-03,עיד אלאדחא (חג הקורבן)
2020-08-05,טו באב
2020-08-25,חג הנביא אל יעפורי
2020-09-09,ערב חג נבי סבלאן
2020-09-10,חג נבי סבלאן
2020-09-18,ערב ראש השנה
2020-09-19,ראש השנה
2020-09-20,ראש השנה
2020-09-21,צום גדליה
2020-09-27,ערב יום כיפור
2020-09-28,יום כיפור
2020-10-02,ערב סוכות
2020-10-03,סוכות
2020-10-04,חול המועד סוכות
2020-10-05,חול המועד סוכות
2020-10-06,חול המועד סוכות
2020-10-07,חול המועד סוכות
2020-10-08,חול המועד סוכות
2020-10-09,חול המועד סוכות
2020-10-10,שמיני עצרת (שמחת תורה)
2020-10-11,איסרו חג סוכות
2020-10-29,הולדת הנביא מוחמד
2020-11-16,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2020-12-10,ערב חנוכה
2020-12-11,חנוכה
2020-12-12,חנוכה
2020-12-13,חנוכה
2020-12-14,חנוכה
2020-12-15,חנוכה
2020-12-16,חנוכה
2020-12-17,חנוכה
2020-12-18,חנוכה
2020-12-24,ערב חג המולד
2020-12-25,צום י בטבת
2020-12-26,חג המולד
2020-12-31,ערב ראשית השנה האזרחית
2021-01-01,ראש השנה האזרחית
2021-01-05,ערב חג ההתגלות
2021-01-06,חג ההתגלות
2021-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2021-01-25,נבי אלח'אדר (חג הנביא אליהו)
2021-01-28,טו בשבט
2021-02-25,תענית אסתר
2021-02-26,פורים
2021-02-27,שושן פורים
2021-03-11,לילת אלסאראא ולמעראג' - עלית הנביא השמיימה
2021-03-25,יום הבשורה
2021-03-27,ערב פסח
2021-03-28,פסח
2021-03-29,חול המועד פסח
2021-03-30,חול המועד פסח
2021-03-31,חול המועד פסח
2021-04-01,חול המועד פסח
2021-04-02,חול המועד פסח
2021-04-03,חג שביעי של פסח
2021-04-04,איסרו חג פסח (מימונה)
2021-04-05,פסחא
2021-04-06,פסחא
2021-04-08,יום הזכרון לשואה ולגבורה
2021-04-13,רמדאן
2021-04-14,יום הזכרון
2021-04-15,רמדאן
2021-04-16,רמדאן
2021-04-17,רמדאן
2021-04-18,רמדאן
2021-04-19,רמדאן
2021-04-20,רמדאן
2021-04-21,רמדאן
2021-04-22,רמדאן
2021-04-23,רמדאן
2021-04-24,רמדאן
2021-04-25,רמדאן
2021-04-26,רמדאן
2021-04-27,רמדאן
2021-04-28,רמדאן
2021-04-29,ערב לג בעומר
2021-04-30,לג בעומר
2021-05-01,רמדאן
2021-05-02,רמדאן
2021-05-03,רמדאן
2021-05-04,רמדאן
2021-05-05,רמדאן
2021-05-06,רמדאן
2021-05-07,רמדאן
2021-05-08,רמדאן
2021-05-09,רמדאן
2021-05-10,יום ירושלים
2021-05-11,רמדאן
2021-05-12,ערב איד אל פיטר
2021-05-13,עיד אל פיטר
2021-05-14,עיד אל פיטר
2021-05-15,עיד אל פיטר
2021-05-16,ערב שבועות
2021-05-17,שבועות
2021-05-18,איסרו חג שבועות
2021-06-27,יז תמוז
2021-07-06,צעדת הנביא אבו אברהים
2021-07-17,ערב ט באב
2021-07-18,ט אב
2021-07-19,ערב עיד אלאדחא (חג הקורבן)
2021-07-20,עיד אלאדחא (חג הקורבן)
2021-07-21,עיד אלאדחא (חג הקורבן)
2021-07-22,עיד אלאדחא (חג הקורבן)
2021-07-23,עיד אלאדחא (חג הקורבן)
2021-07-24,טו באב
2021-08-25,חג הנביא אל יעפורי
2021-09-06,ערב ראש השנה
2021-09-07,ראש השנה
2021-09-08,ראש השנה
2021-09-09,צום גדליה
2021-09-10,חג נבי סבלאן
2021-09-15,ערב יום כיפור
2021-09-16,יום כיפור
2021-09-20,ערב סוכות
2021-09-21,סוכות
2021-09-22,חול המועד סוכות
2021-09-23,חול המועד סוכות
2021-09-24,חול המועד סוכות
2021-09-25,חול המועד סוכות
2021-09-26,חול המועד סוכות
2021-09-27,חול המועד סוכות
2021-09-28,שמיני עצרת (שמחת תורה)
2021-09-29,איסרו חג סוכות
2021-10-18,הולדת הנביא מוחמד
2021-11-04,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2021-11-28,ערב חנוכה
2021-11-29,חנוכה
2021-11-30,חנוכה
2021-12-01,חנוכה
2021-12-02,חנוכה
2021-12-03,חנוכה
2021-12-04,חנוכה
2021-12-05,חנוכה
2021-12-06,חנוכה
2021-12-14,צום י בטבת
2021-12-24,ערב חג המולד
2021-12-25,חג המולד
2021-12-26,חג המולד
2021-12-31,ערב ראשית השנה האזרחית
2022-01-01,ראש השנה האזרחית
2022-01-05,ערב חג ההתגלות
2022-01-06,חג ההתגלות
2022-01-17,טו בשבט
2022-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2022-01-25,נבי אלח'אדר (חג הנביא אליהו)
2022-03-01,לילת אלסאראא ולמעראג' - עלית הנביא השמיימה
2022-03-16,תענית אסתר
2022-03-17,פורים
2022-03-18,שושן פורים
2022-03-25,יום הבשורה
2022-04-01,רמדאן
2022-04-02,רמדאן
2022-04-03,רמדאן
2022-04-04,רמדאן
2022-04-05,רמדאן
2022-04-06,רמדאן
2022-04-07,רמדאן
2022-04-08,רמדאן
2022-04-09,רמדאן
2022-04-10,רמדאן
2022-04-11,רמדאן
2022-04-12,רמדאן
2022-04-13,רמדאן
2022-04-14,רמדאן
2022-04-15,ערב פסח
2022-04-16,פסח
2022-04-17,חול המועד פסח
2022-04-18,חול המועד פסח
2022-04-19,חול המועד פסח
2022-04-20,חול המועד פסח
2022-04-21,חול המועד פסח
2022-04-22,חג שביעי של פסח
2022-04-23,רמדאן
2022-04-24,איסרו חג פסח (מימונה)
2022-04-25,רמדאן
2022-04-26,רמדאן
2022-04-27,רמדאן
2022-04-28,יום הזכרון לשואה ולגבורה
2022-04-29,רמדאן
2022-04-30,רמדאן
2022-05-01,רמדאן
2022-05-02,ערב איד אל פיטר
2022-05-03,עיד אל פיטר
2022-05-04,יום הזכרון
2022-05-05,יום העצמאות
2022-05-18,ערב לג בעומר
2022-05-19,לג בעומר
2022-05-25,ערב העלייה השמיימה
2022-05-26,העלייה השמיימה
2022-05-29,יום ירושלים
2022-06-04,ערב שבועות
2022-06-05,שבועות
2022-06-06,איסרו חג שבועות
2022-07-06,צעדת הנביא אבו אברהים
2022-07-09,ערב עיד אלאדחא (חג הקורבן)
2022-07-10,עיד אלאדחא (חג הקורבן)
2022-07-11,עיד אלאדחא (חג הקורבן)
2022-07-12,עיד אלאדחא (חג הקורבן)
2022-07-13,עיד אלאדחא (חג הקורבן)
2022-07-16,יז תמוז
2022-08-06,ערב ט באב
2022-08-07,ט אב
2022-08-12,טו באב
2022-08-25,חג הנביא אל יעפורי
2022-09-09,ערב חג נבי סבלאן
2022-09-10,חג נבי סבלאן
2022-09-25,ערב ראש השנה
2022-09-26,ראש השנה
2022-09-27,ראש השנה
2022-09-28,צום גדליה
2022-10-04,ערב יום כיפור
2022-10-05,יום כיפור
2022-10-08,הולדת הנביא מוחמד
2022-10-09,ערב סוכות
2022-10-10,סוכות
2022-10-11,חול המועד סוכות
2022-10-12,חול המועד סוכות
2022-10-13,חול המועד סוכות
2022-10-14,חול המועד סוכות
2022-10-15,חול המועד סוכות
2022-10-16,חול המועד סוכות
2022-10-17,שמיני עצרת (שמחת תורה)
2022-10-18,איסרו חג סוכות
2022-11-23,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2022-12-18,ערב חנוכה
2022-12-19,חנוכה
2022-12-20,חנוכה
2022-12-21,חנוכה
2022-12-22,חנוכה
2022-12-23,חנוכה
2022-12-24,חנוכה
2022-12-25,חנוכה
2022-12-26,חנוכה
2022-12-31,ערב ראשית השנה האזרחית
2023-01-01,ראש השנה האזרחית
2023-01-03,צום י בטבת
2023-01-05,ערב חג ההתגלות
2023-01-06,חג ההתגלות
2023-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2023-01-25,נבי אלח'אדר (חג הנביא אליהו)
2023-02-06,טו בשבט
2023-02-17,לילת אלסאראא ולמעראג' - עלית הנביא השמיימה
2023-03-06,תענית אסתר
2023-03-07,פורים
2023-03-08,שושן פורים
2023-03-22,רמדאן
2023-03-23,רמדאן
2023-03-24,רמדאן
2023-03-25,רמדאן
2023-03-26,רמדאן
2023-03-27,רמדאן
2023-03-28,רמדאן
2023-03-29,רמדאן
2023-03-30,רמדאן
2023-03-31,רמדאן
2023-04-01,רמדאן
2023-04-02,רמדאן
2023-04-03,רמדאן
2023-04-04,רמדאן
2023-04-05,ערב פסח
2023-04-06,פסח
2023-04-07,חול המועד פסח
2023-04-08,חול המועד פסח
2023-04-09,חול המועד פסח
2023-04-10,חול המועד פסח
2023-04-11,חול המועד פסח
2023-04-12,חג שביעי של פסח
2023-04-13,איסרו חג פסח (מימונה)
2023-04-14,רמדאן
2023-04-15,רמדאן
2023-04-16,רמדאן
2023-04-17,רמדאן
2023-04-18,יום הזכרון לשואה ולגבורה
2023-04-19,רמדאן
2023-04-20,ערב איד אל פיטר
2023-04-21,עיד אל פיטר
2023-04-22,עיד אל פיטר
2023-04-23,עיד אל פיטר
2023-04-24,ערב חג הנביא שועייב
2023-04-25,יום הזכרון
2023-04-26,יום העצמאות
2023-04-27,חג הנביא שועייב
2023-04-28,חג הנביא שועייב
2023-05-08,ערב לג בעומר
2023-05-09,לג בעומר
2023-05-19,יום ירושלים
2023-05-25,ערב שבועות
2023-05-26,שבועות
2023-05-27,איסרו חג שבועות
2023-06-28,ערב עיד אלאדחא (חג הקורבן)
2023-06-29,עיד אלאדחא (חג הקורבן)
2023-06-30,עיד אלאדחא (חג הקורבן)
2023-07-01,עיד אלאדחא (חג הקורבן)
2023-07-06,יז תמוז
2023-07-26,ערב ט באב
2023-07-27,ט אב
2023-08-02,טו באב
2023-08-25,חג הנביא אל יעפורי
2023-09-04,ערב יום כיפור
2023-09-09,ערב חג נבי סבלאן
2023-09-10,חג נבי סבלאן
2023-09-15,ערב ראש השנה
2023-09-16,ראש השנה
2023-09-17,ראש השנה
2023-09-18,צום גדליה
2023-09-25,יום כיפור
2023-09-27,הולדת הנביא מוחמד
2023-09-29,ערב סוכות
2023-09-30,סוכות
2023-10-01,חול המועד סוכות
2023-10-02,חול המועד סוכות
2023-10-03,חול המועד סוכות
2023-10-04,חול המועד סוכות
2023-10-05,חול המועד סוכות
2023-10-06,חול המועד סוכות
2023-10-07,שמיני עצרת (שמחת תורה)
2023-10-08,איסרו חג סוכות
2023-11-13,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2023-12-07,ערב חנוכה
2023-12-08,חנוכה
2023-12-09,חנוכה
2023-12-10,חנוכה
2023-12-11,חנוכה
2023-12-12,חנוכה
2023-12-13,חנוכה
2023-12-14,חנוכה
2023-12-15,חנוכה
2023-12-24,ערב חג המולד
2023-12-25,חג המולד
2023-12-26,חג המולד
2023-12-31,ערב ראשית השנה האזרחית
2024-01-01,ראש השנה האזרחית
2024-01-05,ערב חג ההתגלות
2024-01-06,חג ההתגלות
2024-01-24,טו בשבט
2024-01-25,נבי אלח'אדר (חג הנביא אליהו)
2024-02-07,לילת אלסאראא ולמעראג' - עלית הנביא השמיימה
2024-03-11,רמדאן
2024-03-12,רמדאן
2024-03-13,רמדאן
2024-03-14,רמדאן
2024-03-15,רמדאן
2024-03-16,רמדאן
2024-03-17,רמדאן
2024-03-18,רמדאן
2024-03-19,רמדאן
2024-03-20,רמדאן
2024-03-21,תענית אסתר
2024-03-22,רמדאן
2024-03-23,רמדאן
2024-03-24,פורים
2024-03-25,שושן פורים
2024-03-26,רמדאן
2024-03-27,רמדאן
2024-03-28,רמדאן
2024-03-29,רמדאן
2024-03-30,רמדאן
2024-03-31,רמדאן
2024-04-01,רמדאן
2024-04-02,רמדאן
2024-04-03,רמדאן
2024-04-04,רמדאן
2024-04-05,רמדאן
2024-04-06,רמדאן
2024-04-07,רמדאן
2024-04-08,רמדאן
2024-04-09,ערב איד אל פיטר
2024-04-10,עיד אל פיטר
2024-04-11,עיד אל פיטר
2024-04-15,יום שישי הטוב
2024-04-16,ערב פסחא
2024-04-17,פסחא
2024-04-18,פסחא
2024-04-22,ערב פסח
2024-04-23,פסח
2024-04-24,חול המועד פסח
2024-04-25,חול המועד פסח
2024-04-26,חול המועד פסח
2024-04-27,חול המועד פסח
2024-04-28,חול המועד פסח
2024-04-29,חג שביעי של פסח
2024-04-30,איסרו חג פסח (מימונה)
2024-05-06,יום הזכרון לשואה ולגבורה
2024-05-13,יום הזכרון
2024-05-14,יום העצמאות
2024-05-25,ערב לג בעומר
2024-05-26,לג בעומר
2024-06-05,יום ירושלים
2024-06-11,ערב שבועות
2024-06-12,שבועות
2024-06-13,איסרו חג שבועות
2024-06-16,ערב עיד אלאדחא (חג הקורבן)
2024-06-17,עיד אלאדחא (חג הקורבן)
2024-06-18,עיד אלאדחא (חג הקורבן)
2024-06-19,עיד אלאדחא (חג הקורבן)
2024-06-20,עיד אלאדחא (חג הקורבן)
2024-07-06,צעדת הנביא אבו אברהים
2024-07-23,יז תמוז
2024-08-12,ערב ט באב
2024-08-13,ט אב
2024-08-18,טו באב
2024-08-25,חג הנביא אל יעפורי
2024-09-09,ערב חג נבי סבלאן
2024-09-10,חג נבי סבלאן
2024-10-02,ערב ראש השנה
2024-10-03,ראש השנה
2024-10-04,ראש השנה
2024-10-06,צום גדליה
2024-10-11,ערב יום כיפור
2024-10-12,יום כיפור
2024-10-16,ערב סוכות
2024-10-17,סוכות
2024-10-18,חול המועד סוכות
2024-10-19,חול המועד סוכות
2024-10-20,חול המועד סוכות
2024-10-21,חול המועד סוכות
2024-10-22,חול המועד סוכות
2024-10-23,חול המועד סוכות
2024-10-24,שמיני עצרת (שמחת תורה)
2024-10-25,איסרו חג סוכות
2024-10-27,יום הזיכרון לטבח שבעה באוקטובר
2024-11-28,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2024-12-24,ערב חג המולד
2024-12-25,ערב חנוכה
2024-12-26,חנוכה
2024-12-27,חנוכה
2024-12-28,חנוכה
2024-12-29,חנוכה
2024-12-30,חנוכה
2024-12-31,חנוכה
2025-01-01,ראש השנה האזרחית
2025-01-05,ערב חג ההתגלות
2025-01-06,חג ההתגלות
2025-01-25,נבי אלח'אדר (חג הנביא אליהו)
2025-01-27,לילת אלסאראא ולמעראג' - עלית הנביא השמיימה
2025-02-13,טו בשבט
2025-02-28,רמדאן
2025-03-01,רמדאן
2025-03-02,רמדאן
2025-03-03,רמדאן
2025-03-04,רמדאן
2025-03-05,רמדאן
2025-03-06,רמדאן
2025-03-07,רמדאן
2025-03-08,רמדאן
2025-03-09,רמדאן
2025-03-10,רמדאן
2025-03-11,רמדאן
2025-03-12,רמדאן
2025-03-13,תענית אסתר
2025-03-14,פורים
2025-03-15,שושן פורים
2025-03-16,רמדאן
2025-03-17,רמדאן
2025-03-18,רמדאן
2025-03-19,רמדאן
2025-03-20,רמדאן
2025-03-21,רמדאן
2025-03-22,רמדאן
2025-03-23,רמדאן
2025-03-24,רמדאן
2025-03-25,רמדאן
2025-03-26,רמדאן
2025-03-27,רמדאן
2025-03-28,רמדאן
2025-03-29,רמדאן
2025-03-30,ערב איד אל פיטר
2025-04-01,עיד אל פיטר
2025-04-02,עיד אל פיטר
2025-04-12,ערב פסח
2025-04-13,פסח
2025-04-14,חול המועד פסח
2025-04-15,חול המועד פסח
2025-04-16,חול המועד פסח
2025-04-17,חול המועד פסח
2025-04-18,חול המועד פסח
2025-04-19,חג שביעי של פסח
2025-04-20,איסרו חג פסח (מימונה)
2025-04-21,פסחא
2025-04-24,יום הזכרון לשואה ולגבורה
2025-04-25,חג הנביא שועייב
2025-04-26,חג הנביא שועייב
2025-04-27,חג הנביא שועייב
2025-04-28,חג הנביא שועייב
2025-04-30,יום הזכרון
2025-05-01,יום העצמאות
2025-05-15,ערב לג בעומר
2025-05-16,לג בעומר
2025-05-26,יום ירושלים
2025-05-28,ערב העלייה השמיימה
2025-05-29,העלייה השמיימה
2025-06-01,ערב שבועות
2025-06-02,שבועות
2025-06-03,איסרו חג שבועות
2025-07-06,צעדת הנביא אבו אברהים
2025-07-13,יז תמוז
2025-08-02,ערב ט באב
2025-08-03,ט אב
2025-08-09,טו באב
2025-08-25,חג הנביא אל יעפורי
2025-09-09,ערב חג נבי סבלאן
2025-09-10,חג נבי סבלאן
2025-09-22,ערב ראש השנה
2025-09-23,ראש השנה
2025-09-24,ראש השנה
2025-09-25,צום גדליה
2025-10-01,ערב יום כיפור
2025-10-02,יום כיפור
2025-10-06,ערב סוכות
2025-10-07,סוכות
2025-10-08,חול המועד סוכות
2025-10-09,חול המועד סוכות
2025-10-10,חול המועד סוכות
2025-10-11,חול המועד סוכות
2025-10-12,חול המועד סוכות
2025-10-13,חול המועד סוכות
2025-10-14,שמיני עצרת (שמחת תורה)
2025-10-15,איסרו חג סוכות
2025-10-16,יום הזיכרון לטבח שבעה באוקטובר
2025-11-20,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2025-12-14,ערב חנוכה
2025-12-15,חנוכה
2025-12-16,חנוכה
2025-12-17,חנוכה
2025-12-18,חנוכה
2025-12-19,חנוכה
2025-12-20,חנוכה
2025-12-21,חנוכה
2025-12-22,חנוכה
2025-12-24,ערב חג המולד
2025-12-25,חג המולד
2025-12-26,חג המולד
2025-12-31,ערב ראשית השנה האזרחית
2026-10-02,ערב ראש השנה
2026-10-03,ראש השנה
2026-10-04,ראש השנה
2026-10-05,צום גדליה
